Change	Time (sec)	Delay(uSec)	Angle(deg)	C length(cm)	Error(arcsec)	
	0.000000	5502	12.34937046641888007750	6.51007878787878787891	0.00140910092404387025
	1.408512	5502	12.35525575441465489634	6.51315757575757575768	0.00289795386250065503
	2.817024	5503	12.36114106459466754472	6.51623636363636363645	0.00061615243957803855
	4.225792	5503	12.36702639698979101519	6.51931515151515151565	-0.00158567458438123211
	5.634560	5503	12.37291175163087085173	6.52239393939393939442	-0.00370741616542636343
	7.043328	5502	12.37879712854872517411	6.52547272727272727319	-0.00189844374075221274
	8.451840	5502	12.38468252777414480275	6.52855151515151515195	-0.00000916408098030860
	9.860352	5502	12.39056794933789327172	6.53163030303030303072	0.00196053356261975243
	11.268864	5503	12.39645339327070694500	6.53470909090909090949	0.00016024222338717684
	12.677632	5503	12.40233885960329503640	6.53778787878787878826	-0.00155940992793744562
	14.086400	5503	12.40822434836633972582	6.54086666666666666746	-0.00319831243551273010
	15.495168	5502	12.41410985959049616701	6.54394545454545454623	-0.00090583732321169301
	16.903680	5502	12.41999539330639260471	6.54702424242424242500	0.00146760805307486432
	18.312192	5503	12.42588094954463043360	6.55010303030303030376	0.00007161624080206560
	19.720960	5503	12.43176652833578423648	6.55318181818181818253	-0.00124318507396037450
	21.129728	5503	12.43765212971040185017	6.55626060606060606130	-0.00247668591900764479
	22.538496	5503	12.44353775369900446789	6.55933939393939394007	-0.00362877641804263476
	23.947264	5502	12.44942340033208667219	6.56241818181818181927	-0.00084882917299547732
	25.355776	5502	12.45530906964011654513	6.56549696969696969804	0.00201274788365909041
	26.764288	5503	12.46119476165353563528	6.56857575757575757680	0.00110554672392998797
	28.173056	5503	12.46708047640275912344	6.57165454545454545557	0.00028019446002851841
	29.581824	5503	12.47296621391817583735	6.57473333333333333434	-0.00046319950825369204
	30.990592	5503	12.47885197423014836619	6.57781212121212121311	-0.00112452587560705906
	32.399360	5503	12.48473775736901300766	6.58089090909090909188	-0.00170367543135219692
	33.808128	5503	12.49062356336507998572	6.58396969696969697108	-0.00220053905868795337
	35.216896	5503	12.49650939224863339418	6.58704848484848484984	-0.00261500773487311127
	36.625664	5503	12.50239524404993133287	6.59012727272727272861	-0.00294697253074837352
	38.034432	5503	12.50828111879920593024	6.59320606060606060738	-0.00319632461065250087
	39.443200	5503	12.51416701652666339101	6.59628484848484848615	-0.00336295523225179185
	40.851968	5503	12.52005293726248414191	6.59936363636363636492	-0.00344675574600336426
	42.260736	5503	12.52593888103682281347	6.60244242424242424368	-0.00344761759523901736
	43.669504	5503	12.53182484787980831634	6.60552121212121212289	-0.00336543231588569103
	45.078272	5503	12.53771083782154394451	6.60860000000000000165	-0.00320009153607969917
	46.487040	5503	12.54359685089210738052	6.61167878787878788042	-0.00295148697616393439
	47.895808	5503	12.54948288712155080211	6.61475757575757575919	-0.00261951044830489685
	49.304576	5503	12.55536894653990095429	6.61783636363636363796	-0.00220405385621315336
	50.713344	5503	12.56125502917715912148	6.62091515151515151672	-0.00170500919526353995
	52.122112	5503	12.56714113506330131927	6.62399393939393939593	-0.00112226855180749122
