Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	0.000000	5483	11.73936422231607652148	6.19146509289838899897	-0.00118775924164896088
	1.403648	5483	11.74522847241082572529	6.19454388077717687773	-0.00227551526164015665
	2.807296	5483	11.75109275030462945271	6.19762266865596475650	-0.00326319468534675534
	4.210944	5482	11.75695705601786126508	6.20070145653475263570	-0.00030020655038352980
	5.614336	5482	11.76282138957088637364	6.20378024441354051447	0.00276300484045240526
	7.017728	5483	11.76868575098406174452	6.20685903229232839324	0.00207599515466271037
	8.421376	5483	11.77455014027773601022	6.20993782017111627201	0.00148935526489158509
	9.825024	5483	11.78041455747224963441	6.21301660804990415077	0.00100315839681247217
	11.228672	5483	11.78627900258793482092	6.21609539592869202954	0.00061747774635845385
	12.632320	5483	11.79214347564511560732	6.21917418380747990831	0.00033238648006608728
	14.035968	5483	11.79800797666410784419	6.22225297168626778751	0.00014795773499154219
	15.439616	5483	11.80387250566521921673	6.22533175956505566628	0.00006426461880844022
	16.843264	5483	11.80973706266874929775	6.22841054744384354505	0.00008138020997278411
	18.246912	5483	11.81560164769498957275	6.23148933532263142382	0.00019937755783756944
	19.650560	5483	11.82146626076422340611	6.23456812320141930258	0.00041832968251301420
	21.054208	5483	11.82733090189672614263	6.23764691108020718135	0.00073830957523834822
	22.457856	5483	11.83319557111276504931	6.24072569895899506012	0.00115939019817774826
	23.861504	5483	11.83906026843259941348	6.24380448683778293932	0.00168164448476137801
	25.265152	5483	11.84492499387648049413	6.24688327471657081809	0.00230514533952884513
	26.668800	5483	11.85078974746465159309	6.24996206259535869686	0.00302996563835842480
	28.072448	5484	11.85665452921734807929	6.25304085047414657562	0.00000566061101582610
	29.476352	5484	11.86251933915479737404	6.25611963835293445439	-0.00291717930621256606
	30.880256	5483	11.86838417729721897875	6.25919842623172233316	-0.00188796370556192878
	32.283904	5483	11.87424904366482452701	6.26227721411051021193	-0.00075713744271383173
	33.687552	5483	11.88011393827781781579	6.26535600198929809113	0.00047537221599913846
	35.091200	5483	11.88597886115639472217	6.26843478986808596990	0.00180963797573681028
	36.494848	5483	11.89184381232074337077	6.27151357774687384867	0.00324573251374684945
	37.898496	5484	11.89770879179104409642	6.27459236562566172743	0.00093321086166752924
	39.302400	5484	11.90357379958746938172	6.27767115350444960620	-0.00127733674199557046
	40.706304	5484	11.90943883573018403053	6.28074994138323748497	-0.00338583770395490489
	42.110208	5483	11.91530390023934509423	6.28382872926202536417	-0.00154170184124967870
	43.513856	5483	11.92116899313510185177	6.28690751714081324294	0.00040462576595039208
	44.917504	5483	11.92703411443759594669	6.28998630501960112171	0.00245321762756535805
	46.321152	5484	11.93289926416696135510	6.29306509289838900047	0.00075362860834475661
	47.725056	5484	11.93876444234332438385	6.29614388077717687924	-0.00084355121944323785
	49.128960	5484	11.94462964898680369837	6.29922266865596475801	-0.00233824942860032936
	50.532864	5484	11.95049488411751036944	6.30230145653475263678	-0.00373039361927571198
	51.936768	5483	11.95636014775554789580	6.30538024441354051598	-0.00116939380130797587
	53.340416	5483	11.96222543992101218849	6.30845903229232839475	0.00149430475302144819
	54.744064	5484	11.96809076063399159082	6.31153782017111627351	0.00041025674417868327
	56.147968	5484	11.97395610991456698854	6.31461660804990415228	-0.00057094791908556837
	57.551872	5484	11.97982148778281167537	6.31769539592869203105	-0.00144923697290319050
	58.955776	5484	11.98568689425879153689	6.32077418380747990982	-0.00222453818009384029
	60.359680	5484	11.99155232936256496295	6.32385297168626778859	-0.00289677933045287551
	61.763584	5484	11.99741779311418288147	6.32693175956505566779	-0.00346588824063674276
	63.167488	5483	12.00328328553368883395	6.33001054744384354656	-0.00008127513633436348
	64.571136	5483	12.00914880664111892335	6.33308933532263142532	0.00340661449486201424
	65.974784	5484	12.01501435645650190439	6.33616812320141930409	0.00314733513890159247
	67.378688	5484	12.02087993499985913576	6.33924691108020718286	0.00299147649024178516
	68.782592	5484	12.02674554229120464956	6.34232569895899506163	0.00293911059939947326
	70.186496	5484	12.03261117835054517210	6.34540448683778294039	0.00299030949058953078
	71.590400	5484	12.03847684319788011349	6.34848327471657081960	0.00314514516168848445
	72.994304	5484	12.04434253685320156679	6.35156206259535869836	0.00340368958422612754
	74.398208	5484	12.05020825933649442768	6.35464085047414657713	0.00376601470383278535
	75.802112	5485	12.05607401066773631641	6.35771963835293445590	0.00038167482237436090
	77.206272	5485	12.06193979086689763332	6.36079842623172233467	-0.00289874054914326831
	78.610432	5484	12.06780559995394155708	6.36387721411051021344	-0.00222464192570873673
	80.014336	5484	12.07367143794882410109	6.36695600198929809220	-0.00144647508324399834
